id,studentID,caID,score,active
17,502,55,0.5,
18,499,55,0.5,
19,488,55,0.3,
20,504,55,0.4,
21,498,55,0.5,
22,496,55,0.6,
23,487,55,0.7,
24,494,55,0.8,
25,497,55,0.9,
26,501,55,0.8,
27,490,55,0.7,
28,495,55,0.6,
29,491,55,0.5,
30,506,55,0.4,
31,492,55,0.3,
32,493,55,0.3,
33,505,55,0.4,
34,489,55,0.6,
35,502,56,0.4,
36,499,56,0.6,
37,488,56,0.9,
38,504,56,0.9,
39,498,56,0.9,
40,496,56,0.9,
41,487,56,0.8,
42,494,56,0.7,
43,497,56,0.8,
44,501,56,0.9,
45,490,56,0.9,
46,495,56,0.9,
47,491,56,0.8,
48,506,56,0.7,
49,492,56,0.6,
50,493,56,0.5,
51,505,56,0.6,
52,502,62,0.6,
53,499,62,0.6,
54,488,62,0.6,
55,504,62,0.6,
56,498,62,0.6,
57,496,62,0.5,
58,487,62,0.4,
59,494,62,0.5,
60,497,62,0.6,
61,501,62,0.5,
62,490,62,0.4,
63,495,62,0.4,
64,491,62,0.3,
65,506,62,0.4,
66,492,62,0.3,
67,493,62,0.3,
68,489,62,0.8,
69,505,62,0.1,
70,489,56,0.7,
71,502,58,0.3,
72,499,58,0.3,
73,488,58,0.4,
74,504,58,0.5,
75,498,58,0.6,
76,496,58,0.7,
77,487,58,0.6,
78,494,58,0.5,
79,497,58,0.4,
80,501,58,0.3,
81,490,58,0.3,
82,495,58,0.4,
83,491,58,0.5,
84,492,58,0.7,
85,493,58,0.8,
86,505,58,0.9,
87,489,58,0.1,
88,506,58,0.6,
89,502,51,0.3,
90,499,51,0.4,
91,488,51,0.2,
92,504,51,0.3,
93,498,51,0.5,
94,496,51,0.8,
95,487,51,0.7,
96,494,51,0.8,
97,497,51,0.9,
98,490,51,0.6,
99,495,51,0.7,
100,491,51,0.8,
101,506,51,0.8,
102,492,51,0.9,
103,493,51,0.7,
104,505,51,0.6,
105,489,51,0.5,
106,501,51,0.4,
107,502,52,0.2,
108,499,52,0.2,
109,488,52,0.1,
110,504,52,0.2,
111,498,52,0.4,
112,496,52,0.4,
113,487,52,0.6,
114,494,52,0.9,
115,497,52,0.9,
116,501,52,0.9,
117,490,52,0.8,
118,495,52,0.9,
119,491,52,0.8,
120,506,52,0.9,
121,492,52,0.8,
122,493,52,0.9,
123,505,52,0.7,
124,489,52,0.6,
125,502,53,0.2,
126,499,53,0.3,
127,488,53,0.4,
128,504,53,0.5,
129,498,53,0.6,
130,496,53,0.7,
131,487,53,0.8,
132,494,53,0.9,
133,497,53,0.5,
134,501,53,0.4,
135,495,53,0.3,
136,490,53,0.2,
137,491,53,0.4,
138,506,53,0.5,
139,492,53,0.6,
140,505,53,0.7,
141,489,53,0.9,
142,493,53,0.9,
143,11,55,0.3,
144,25,55,0.5,
145,12,55,0.6,
146,13,55,0.7,
147,13,56,0.7,
